2016-11-17,MARKS&SPENCER PLC BRENTWOOD,-27.68
2016-11-15,TESCO-STORES 6793 WARLEY,-3.05
2016-11-14,POUNDLAND LTD 1707 BRENTWOOD,-1.00
2016-11-14,WILKO RETAIL LIMIT BRENTWOOD,-0.95
2016-11-10,REDONDO CM144EQ,-104.99
2016-11-08,BRENTWOOD SCHOOL E BRENTWOOD,-53.10
2016-11-07,TESCO-STORES 6793 WARLEY,-8.05
2016-11-07,SAINSBURY'S S/MKT BRENTWOOD,-15.70
2016-11-02,BRENTWOOD SCHOOL E,-35.00
2016-11-01,MR L DEVASIA SPLITWISE20161101,-345.09
2016-10-31,SAINSBURY'S S/MKT BRENTWOOD,-15.49
